"name","editLink","id"
"Sample - Post","https://app.hubspot.com/l/content/edit-beta/2222109063","2222109063"
"Sample - How To Post","https://app.hubspot.com/l/content/edit-beta/2224492601","2224492601"
"Your Blog Post Title Here...","https://app.hubspot.com/l/content/edit-beta/4084410679","4084410679"
"Complete Object Test","https://app.hubspot.com/l/content/edit-beta/4097930689","4097930689"
"Complete Object Test 3","https://app.hubspot.com/l/content/edit-beta/4098082564","4098082564"
"Test blog author","https://app.hubspot.com/l/content/edit-beta/4098095609","4098095609"
"How to change your HubSpot Sales username","https://app.hubspot.com/l/content/edit-beta/4099966009","4099966009"
"How do I unschedule an email?","https://app.hubspot.com/l/content/edit-beta/4099966014","4099966014"
"Getting Started With HubSpot Sales Professional","https://app.hubspot.com/l/content/edit-beta/4099966019","4099966019"
"HubSpot Sales Professional: Getting Started User Guide","https://app.hubspot.com/l/content/edit-beta/4101596334","4101596334"
"How can I hide individual prospects?","https://app.hubspot.com/l/content/edit-beta/4101596339","4101596339"
"Can I customize the properties I see in my Prospects tool?","https://app.hubspot.com/l/content/edit-beta/4101596344","4101596344"
"How do I create a call queue?","https://app.hubspot.com/l/content/edit-beta/4101596354","4101596354"
"How do I uninstall HubSpot Sales?","https://app.hubspot.com/l/content/edit-beta/4101596359","4101596359"
"Your email was not tracked","https://app.hubspot.com/l/content/edit-beta/4101596364","4101596364"
"How do I send internal reminders about contacts in HubSpot CRM?","https://app.hubspot.com/l/content/edit-beta/4101596369","4101596369"
"Sidekick for Business User Guide: Send and Track Email Templates","https://app.hubspot.com/l/content/edit-beta/4101623544","4101623544"
"Sidekick for Business + Salesforce User Guide: Task Sync","https://app.hubspot.com/l/content/edit-beta/4101623549","4101623549"
"How can I change the date format in my CRM?","https://app.hubspot.com/l/content/edit-beta/4101623619","4101623619"
"What are the CRM user roles and permissions?","https://app.hubspot.com/l/content/edit-beta/4101623624","4101623624"