"name","addon","editLink"
"How to analyze a campaign in HubSpot",,"https://app.hubspot.com/content/53/edit-beta/755703719"
"How to create a campaign",,"https://app.hubspot.com/content/53/edit-beta/755786694"
"Campaigns User Guide",,"https://app.hubspot.com/content/53/edit-beta/761417286"
"How to plan your next campaign",,"https://app.hubspot.com/content/53/edit-beta/765257050"
"How to create a campaign v2",,"https://app.hubspot.com/content/53/edit-beta/3168284101"
"Frequently Asked Questions (Campaigns)",,"https://app.hubspot.com/content/53/edit-beta/3169584931"
"How to plan your next campaign v2",,"https://app.hubspot.com/content/53/edit-beta/3194665154"
"Overview of the Campaigns tool in HubSpot v2",,"https://app.hubspot.com/content/53/edit-beta/3215355538"
"How to analyze a campaign in HubSpot v2",,"https://app.hubspot.com/content/53/edit-beta/3216227818"
"Campaigns User Guide (es)",,"https://app.hubspot.com/content/53/edit-beta/3664188666"
"How to analyze a campaign in HubSpot v2 (es)",,"https://app.hubspot.com/content/53/edit-beta/3664199466"
"How to create a campaign v2 (es)",,"https://app.hubspot.com/content/53/edit-beta/3687725232"
"Overview of the Campaigns tool in HubSpot v2 (es)",,"https://app.hubspot.com/content/53/edit-beta/3688334462"
"How to plan your next campaign v2 (es)",,"https://app.hubspot.com/content/53/edit-beta/3688387928"
"Frequently Asked Questions (Campaigns) (es)",,"https://app.hubspot.com/content/53/edit-beta/3833471895"
"How to plan your next campaign v2 (ja)",,"https://app.hubspot.com/content/53/edit-beta/3926493416"
"Campaigns User Guide (ja)",,"https://app.hubspot.com/content/53/edit-beta/3926650471"
"How to plan your next campaign v2 (de-de)",,"https://app.hubspot.com/content/53/edit-beta/3926690181"
"Overview of the Campaigns tool in HubSpot v2 (de-de)",,"https://app.hubspot.com/content/53/edit-beta/3926731516"
"Overview of the Campaigns tool in HubSpot v2 (ja)",,"https://app.hubspot.com/content/53/edit-beta/3933243842"
"Frequently Asked Questions (Campaigns) (ja)",,"https://app.hubspot.com/content/53/edit-beta/3943134253"
"How to analyze a campaign in HubSpot v2 (ja)",,"https://app.hubspot.com/content/53/edit-beta/3943177958"
"How to create a campaign v2 (de-de)",,"https://app.hubspot.com/content/53/edit-beta/3943181188"
"Campaigns User Guide (de-de)",,"https://app.hubspot.com/content/53/edit-beta/3943199148"
"How to create a campaign v2 (ja)",,"https://app.hubspot.com/content/53/edit-beta/4063716590"
"How to analyze a campaign in HubSpot v2 (de-de)",,"https://app.hubspot.com/content/53/edit-beta/4063763750"
"Frequently Asked Questions (Campaigns) (de-de)",,"https://app.hubspot.com/content/53/edit-beta/4063816035"