id,publish_immediately
4355005068,TRUE
4192700497,TRUE
4330813275,TRUE
4126822769,TRUE
4127295489,TRUE
4475460378,TRUE
4550666110,TRUE
4345876905,TRUE
4475566008,TRUE
4382507897,TRUE
4126822779,TRUE
4127284809,TRUE
4309908117,TRUE
4203266478,TRUE
4331259150,TRUE
4331001705,TRUE
4127174569,TRUE
4177134242,TRUE
4199946938,TRUE
4184408261,TRUE
4202849783,TRUE
4331259155,TRUE
4330903240,TRUE
4177470282,TRUE
4509552343,TRUE
4184580171,TRUE
4126822789,TRUE
4184580166,TRUE
4126822774,TRUE
4331418150,TRUE
4127174624,TRUE
4381163242,TRUE
4184507256,TRUE
4201015348,TRUE
4269848751,TRUE
4177159367,TRUE
4177072712,TRUE
4127029344,TRUE
4184507446,TRUE
4126474479,TRUE
4126822799,TRUE
4127174619,TRUE
4177444687,TRUE
4185816220,TRUE
4353284795,TRUE
4330651220,TRUE
4013313256,TRUE
4331340860,TRUE
4055496856,TRUE
4498339410,TRUE
4382507897,TRUE
4298311134,TRUE
4331347490,TRUE
4203266388,TRUE
4184580231,TRUE
4184580176,TRUE
4184408251,TRUE
4177359657,TRUE
4184095826,TRUE
4190090237,TRUE
4211653937,TRUE
4331254560,TRUE
4475633348,TRUE
4199875913,TRUE
4177329052,TRUE
4331437185,TRUE
4203273308,TRUE
4184580161,TRUE
4126980684,TRUE
4174875827,TRUE
4314684326,TRUE
4177396822,TRUE
4184696179,TRUE
4184083211,TRUE
4331390175,TRUE
4408001454,TRUE
4203260918,TRUE
4373741004,TRUE
4202509063,TRUE
4126523869,TRUE
4127295694,TRUE
4176809052,TRUE
4360846095,TRUE
4127284789,TRUE
4331254555,TRUE
4331329890,TRUE
4373180990,TRUE
4185631095,TRUE
4127284799,TRUE
4184561706,TRUE
4177444702,TRUE
4331347455,TRUE
4298956256,TRUE
4336414730,TRUE
4177317567,TRUE
4127295484,TRUE
4177438987,TRUE
4184095941,TRUE
4334604691,TRUE